"","Mat","Pat","Freq","mat_lat","mat_lon","pat_lat","pat_lon","linalool.x","linalool.y","chem_cross","dist_m"
"1","4069","4072",5,37.533715,-104.70596,37.533718,-104.70598,1,1,"1_1",1.79879820741341
"2","4069","4073",2,37.533715,-104.70596,37.533733,-104.70601,1,0,"1_0",4.84986389653517
"3","4069","4084",1,37.533715,-104.70596,37.534334,-104.70633,1,0,"1_0",76.0876877308044
"4","4069","4086",2,37.533715,-104.70596,37.534581,-104.70666,1,1,"1_1",114.306630359968
"5","4069","4087",1,37.533715,-104.70596,37.534602,-104.70671,1,1,"1_1",118.683790975026
"6","4071","4069",1,37.53372,-104.70598,37.533715,-104.70596,1,1,"1_1",1.85277281889127
"7","4071","4097",1,37.53372,-104.70598,37.534525,-104.7063,1,0,"1_0",93.714921615471
"8","4072","4069",1,37.533718,-104.70598,37.533715,-104.70596,1,1,"1_1",1.79879820741341
"9","4072","4076",1,37.533718,-104.70598,37.533849,-104.70602,1,0,"1_0",14.9630525526905
"10","4074","4069",1,37.533797,-104.70604,37.533715,-104.70596,1,1,"1_1",11.5249694536878
"11","4076","4077",2,37.533849,-104.70602,37.533826,-104.70611,0,1,"0_1",8.35425473877337
"12","4076","4078",1,37.533849,-104.70602,37.533851,-104.70613,0,0,"0_0",9.72493997340266
"13","4077","4086",1,37.533826,-104.70611,37.534581,-104.70666,1,1,"1_1",96.8753142481107
"14","4078","4068",1,37.533851,-104.70613,37.5337,-104.70597,0,0,"0_0",21.9284357040546
"15","4078","4079",2,37.533851,-104.70613,37.533838,-104.70629,0,1,"0_1",14.215097009282
"16","4078","4090",1,37.533851,-104.70613,37.534618,-104.70661,0,1,"0_1",95.1134380907627
"17","4080","4081",2,37.533932,-104.70637,37.533939,-104.70634,1,1,"1_1",2.76303777350863
"18","4080","4097",1,37.533932,-104.70637,37.534525,-104.7063,1,0,"1_0",66.1058555417387
"19","4081","4080",4,37.533939,-104.70634,37.533932,-104.70637,1,1,"1_1",2.76303777350863
"20","4081","4100",1,37.533939,-104.70634,37.534445,-104.70621,1,1,"1_1",57.3231275161921
"21","4082","4096",1,37.533949,-104.70634,37.534521,-104.70629,1,0,"1_0",63.6385824045095
"22","4083","4070",1,37.534158,-104.70624,37.533716,-104.70597,0,1,"0_1",54.5530820188209
"23","4083","4075",1,37.534158,-104.70624,37.533842,-104.70599,0,1,"0_1",41.4523893613336
"24","4083","4080",2,37.534158,-104.70624,37.533932,-104.70637,0,1,"0_1",27.5896679581053
"25","4083","4095",4,37.534158,-104.70624,37.534518,-104.70627,0,0,"0_0",40.0434510262329
"26","4083","4096",1,37.534158,-104.70624,37.534521,-104.70629,0,0,"0_0",40.5301779401328
"27","4085","4082",2,37.534569,-104.70664,37.533949,-104.70634,1,1,"1_1",73.7442438165756
"28","4086","4075",1,37.534581,-104.70666,37.533842,-104.70599,1,1,"1_1",101.163411270228
"29","4086","4077",1,37.534581,-104.70666,37.533826,-104.70611,1,1,"1_1",96.8753142481107
"30","4086","4079",1,37.534581,-104.70666,37.533838,-104.70629,1,1,"1_1",88.7115462644819
"31","4086","4088",1,37.534581,-104.70666,37.534631,-104.70673,1,1,"1_1",8.31105820440438
"32","4087","4101",1,37.534602,-104.70671,37.534222,-104.70606,1,1,"1_1",71.2690505369711
"33","4088","4087",3,37.534631,-104.70673,37.534602,-104.70671,1,1,"1_1",3.6721108553163
"34","4088","4101",1,37.534631,-104.70673,37.534222,-104.70606,1,1,"1_1",74.6147715725577
"35","4089","4091",4,37.534631,-104.70665,37.534702,-104.70641,0,0,"0_0",22.6286919625478
"36","4090","4079",1,37.534618,-104.70661,37.533838,-104.70629,1,1,"1_1",91.0734500098386
"37","4090","4088",1,37.534618,-104.70661,37.534631,-104.70673,1,1,"1_1",10.7038423926271
"38","4090","4091",1,37.534618,-104.70661,37.534702,-104.70641,1,0,"1_0",19.9847662775296
"39","4090","4096",2,37.534618,-104.70661,37.534521,-104.70629,1,0,"1_0",30.262780295724
"40","4091","4102",2,37.534702,-104.70641,37.533872,-104.70599,0,0,"0_0",99.3180433459666
"41","4098","4091",1,37.534523,-104.70629,37.534702,-104.70641,0,0,"0_0",22.5206590907932
"42","4100","4086",4,37.534445,-104.70621,37.534581,-104.70666,1,1,"1_1",42.5410436047435
"43","4100","4087",1,37.534445,-104.70621,37.534602,-104.70671,1,1,"1_1",47.5036578403486
"44","4100","4088",5,37.534445,-104.70621,37.534631,-104.70673,1,1,"1_1",50.383413924208
"45","4101","4076",1,37.534222,-104.70606,37.533849,-104.70602,1,0,"1_0",41.5490911898086
"46","4101","4080",1,37.534222,-104.70606,37.533932,-104.70637,1,1,"1_1",42.2693103461487
"47","4101","4091",2,37.534222,-104.70606,37.534702,-104.70641,1,0,"1_0",61.6042432715007
"48","4102","4073",2,37.533872,-104.70599,37.533733,-104.70601,0,0,"0_0",15.5282315791193
