"","linalool","Tag.."
"1",1,NA
"2",1,"4001"
"3",0,"4002"
"4",1,"4003"
"5",1,"4004"
"6",1,"4005"
"7",1,"4006"
"8",0,"4009"
"9",1,"4010"
"10",1,"4011"
"11",1,"4012"
"12",1,"4013"
"13",1,"4014"
"14",0,"4015"
"15",1,"4016"
"16",1,"4017"
"17",0,"4018"
"18",1,"4019"
"19",1,"4020"
"20",1,"4021"
"21",1,"4022"
"22",1,"4023"
"23",1,"4024"
"24",1,"4025"
"25",1,"4026"
"26",1,"4027"
"27",1,"4028"
"28",0,"4029"
"29",0,"4030"
"30",1,"4031"
"31",0,"ambient"
"32",0,"ambient"
"33",0,"storage"
"34",1,"4032"
"35",1,"4033"
"36",1,"4034"
"37",1,"4035"
"38",1,"4036"
"39",1,"4037"
"40",1,"4038"
"41",1,"4039"
"42",1,"4040"
"43",0,"4041"
"44",1,"4042"
"45",1,"4043"
"46",1,"4044"
"47",1,"4045"
"48",1,"4046"
"49",1,"4047"
"50",1,"4048"
"51",1,"4049"
"52",1,"4050"
"53",1,"4051"
"54",1,"4052"
"55",0,"4053"
"56",1,"4054"
"57",0,"4055"
"58",1,"4056"
"59",1,"4057"
"60",1,"4058"
"61",1,"4059"
"62",1,"4060"
"63",1,"4061"
"64",1,"4062"
"65",1,"4063"
"66",1,"4064"
"67",0,"4065"
"68",1,"4066"
"69",0,"4067"
"70",0,"4068"
"71",1,"4069"
"72",1,"4070"
"73",1,"4071"
"74",1,"4072"
"75",0,"4073"
"76",1,"4074"
"77",1,"4075"
"78",0,"4076"
"79",1,"4077"
"80",0,"4078"
"81",1,"4079"
"82",1,"4080"
"83",1,"4081"
"84",1,"4082"
"85",0,"4083"
"86",0,"4084"
"87",1,"4085"
"88",1,"4086"
"89",1,"4087"
"90",1,"4088"
"91",0,"4089"
"92",1,"4090"
"93",0,"4091"
"94",1,"4092"
"95",0,"4093"
"96",0,"4094"
"97",0,"4095"
"98",0,"4096"
"99",0,"4097"
"100",0,"4098"
"101",0,"4099"
"102",1,"4100"
"103",1,"4101"
"104",0,"4102"
"105",1,"4103"
"106",0,"4104"
"107",0,"4105"
"108",0,"4106"
"109",0,"4107"
"110",1,"4108"
"111",1,"4109"
"112",0,"4110"
"113",0,"4111"
"114",1,"4112"
"115",0,"4113"
"116",0,"4117"
"117",0,"4118"
"118",0,"4119"
"119",0,"4121"
"120",0,"4122"
"121",0,"4123"
"122",0,"4124"
"123",0,"4126"
"124",1,"4127"
"125",0,"4128"
"126",0,"4129"
"127",1,"4131"
"128",1,"4132"
"129",1,"4133"
"130",0,"4134"
"131",0,"4135"
"132",0,"4136"
"133",1,"4137"
"134",1,"4138"
"135",0,"ambient"
"136",0,"storage"
"137",0,"4139"
"138",1,"4140"
"139",1,"4141"
"140",1,"4142"
"141",0,"4143"
"142",0,"4144"
"143",1,"4145"
"144",0,"4146"
"145",1,"4147"
"146",1,"4148"
"147",1,"4149"
"148",0,"4150"
"149",0,"4151"
"150",0,"4152"
"151",0,"4153"
"152",0,"4154"
"153",0,"4155"
"154",0,"4156"
"155",1,"4157"
"156",0,"4158"
"157",0,"4159"
"158",1,"4160"
"159",0,"4161"
"160",0,"4162"
"161",0,"4163"
"162",1,"4164"
"163",0,"4165"
"164",0,"4166"
"165",0,"4167"
"166",0,"4168"
"167",1,"4169"
"168",0,"4170"
"169",0,"4171"
"170",0,"4172"
"171",1,"4173"
"172",1,"4174"
"173",1,"4175"
"174",1,"4176"
"175",1,"4177"
"176",1,"4178"
"177",1,"4179"
"178",1,"4180"
"179",1,"4181"
"180",1,"4182"
"181",0,"4183"
"182",1,"4184"
"183",1,"4185"
"184",0,"4186"
"185",1,"4187"
"186",1,"4188"
"187",0,"4189"
"188",1,"4190"
"189",1,"4191"
"190",1,"4192"
"191",1,"4193"
"192",1,"4194"
"193",0,"4195"
"194",1,"4196"
"195",1,"4197"
"196",1,"4198"
"197",0,"4200"
"198",1,"4201"
"199",1,"4202"
"200",0,"4205"
"201",1,"4207"
"202",0,"4208"
