Var1,Freq,mat_lat,mat_lon,pat_lat,pat_lon
4069_4072,5,37.533715,-104.70596,37.533718,-104.70598
4069_4073,2,37.533715,-104.70596,37.533733,-104.70601
4069_4084,1,37.533715,-104.70596,37.534334,-104.70633
4069_4086,2,37.533715,-104.70596,37.534581,-104.70666
4069_4087,1,37.533715,-104.70596,37.534602,-104.70671
4071_4069,1,37.53372,-104.70598,37.533715,-104.70596
4071_4097,1,37.53372,-104.70598,37.534525,-104.7063
4072_4069,1,37.533718,-104.70598,37.533715,-104.70596
4072_4076,1,37.533718,-104.70598,37.533849,-104.70602
4074_4069,1,37.533797,-104.70604,37.533715,-104.70596
4076_4077,2,37.533849,-104.70602,37.533826,-104.70611
4076_4078,1,37.533849,-104.70602,37.533851,-104.70613
4077_4086,1,37.533826,-104.70611,37.534581,-104.70666
4078_4068,1,37.533851,-104.70613,37.5337,-104.70597
4078_4079,2,37.533851,-104.70613,37.533838,-104.70629
4078_4090,1,37.533851,-104.70613,37.534618,-104.70661
4080_4081,2,37.533932,-104.70637,37.533939,-104.70634
4080_4097,1,37.533932,-104.70637,37.534525,-104.7063
4081_4080,4,37.533939,-104.70634,37.533932,-104.70637
4081_4100,1,37.533939,-104.70634,37.534445,-104.70621
4082_4096,1,37.533949,-104.70634,37.534521,-104.70629
4083_4070,1,37.534158,-104.70624,37.533716,-104.70597
4083_4075,1,37.534158,-104.70624,37.533842,-104.70599
4083_4080,2,37.534158,-104.70624,37.533932,-104.70637
4083_4095,4,37.534158,-104.70624,37.534518,-104.70627
4083_4096,1,37.534158,-104.70624,37.534521,-104.70629
4085_4082,2,37.534569,-104.70664,37.533949,-104.70634
4086_4075,1,37.534581,-104.70666,37.533842,-104.70599
4086_4077,1,37.534581,-104.70666,37.533826,-104.70611
4086_4079,1,37.534581,-104.70666,37.533838,-104.70629
4086_4088,1,37.534581,-104.70666,37.534631,-104.70673
4087_4101,1,37.534602,-104.70671,37.534222,-104.70606
4088_4087,3,37.534631,-104.70673,37.534602,-104.70671
4088_4101,1,37.534631,-104.70673,37.534222,-104.70606
4089_4091,4,37.534631,-104.70665,37.534702,-104.70641
4090_4079,1,37.534618,-104.70661,37.533838,-104.70629
4090_4088,1,37.534618,-104.70661,37.534631,-104.70673
4090_4091,1,37.534618,-104.70661,37.534702,-104.70641
4090_4096,2,37.534618,-104.70661,37.534521,-104.70629
4091_4102,2,37.534702,-104.70641,37.533872,-104.70599
4098_4091,1,37.534523,-104.70629,37.534702,-104.70641
4100_4086,4,37.534445,-104.70621,37.534581,-104.70666
4100_4087,1,37.534445,-104.70621,37.534602,-104.70671
4100_4088,5,37.534445,-104.70621,37.534631,-104.70673
4101_4076,1,37.534222,-104.70606,37.533849,-104.70602
4101_4080,1,37.534222,-104.70606,37.533932,-104.70637
4101_4091,2,37.534222,-104.70606,37.534702,-104.70641
4102_4073,2,37.533872,-104.70599,37.533733,-104.70601
